iid	lat	long	time	sex	analyis_label	label	source	udg	data_type	location	country	coverage	n_snps
HGDP01153	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01155	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01156	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01157	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01161	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01162	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01163	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01164	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01166	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01167	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01168	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01169	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01171	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01172	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01173	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01174	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
HGDP01177	46	10	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est393	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est375	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est380	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est391	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est377	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est372	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est358	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est400	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est397	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Est394	58.5	24.9	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA15725	50.1	14.4	-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
